kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth
1723078,001723078-01,351053716,PC,0,1,1,330.01682969999996,280.39270780000004
1724222,001724222-01,137488000,FP,1,1,4,0.8278893748999999,20.32582054
1724222,001724222-04,137488000,FP,1,4,4,127.31506509999998,240.07027459999998
1724961,001724961-01,137545849,FP,1,1,1,0.6205960040999999,84.38462639
1724968,001724968-01,137545845,FP,1,1,6,0.620596841,177.91741930000003
1724968,001724968-02,137545845,FP,1,2,6,305.1162178,18454.57054
1724968,001724968-03,137545845,FP,1,3,6,126.3181509,5567.808322
1724968,001724968-04,137545845,FP,1,4,6,175.4825399,13520.55562
1724968,001724968-05,137545845,FP,1,5,6,620.0225922999999,14492.631619999998
1724968,001724968-06,137545845,FP,1,6,6,139.78385459999998,631.2995377999999
1849235,001849235-01,120761974,FP,1,1,4,0.937078713,199.9806121
1849235,001849235-02,120761974,FP,1,2,4,0.9371046649,884.6856867999999
1849235,001849235-03,120761974,FP,1,3,4,4.685457561000001,730.6530431
1849235,001849235-04,120761974,FP,1,4,4,0.5206137222999999,166.4745801
1849555,001849555-01,120825571,FP,1,1,1,1.672989581,19.18036809
1868404,001868404-01,137306325,FP,1,1,1,6.126019629,47.73166758
1870849,001870849-01,137346870,FP,1,1,2,0.5312268257,77.82478977
1870849,001870849-02,137346870,FP,1,2,2,0.5312210536,101.453455
1871056,001871056-01,137347078,PC,0,1,2,40.8063313,310.6040828
1871056,001871056-02,137347078,PC,0,2,2,140.1053581,320.8261668
1872948,001872948-01,137638072,FP,1,1,3,1.38647619,7.485090133
1872948,001872948-02,137638072,FP,1,2,3,405.2730073,133.0214892
1872948,001872948-03,137638072,FP,1,3,3,30.48794424,22.0301328
1873513,001873513-01,137683938,PC,0,1,1,3.290352527,13529.102780000001
1873543,001873543-01,137683989,FP,1,1,4,536.6204431,1166.018235
1873543,001873543-02,137683989,FP,1,2,4,316.69707900000003,1136.313293
1873543,001873543-03,137683989,FP,1,3,4,638.1502426,1121.3351910000001
1873543,001873543-04,137683989,FP,1,4,4,359.47430210000005,913.4644206
1995431,001995431-01,120762046,FP,1,1,3,446.76201669999995,153.1679816
1995431,001995431-03,120762046,FP,1,3,3,3.82371442,8.391747538999999
1996399,001996399-01,120890307,FP,1,1,1,358.6798683,610.8492583999999
2010152,002010152-01,122373874,FP,1,1,1,317.73672339999996,269.22789
2010414,002010414-01,122507920,FP,1,1,2,2.555614445,5.255139758e-06
2010414,002010414-02,122507920,FP,1,2,2,2.555389975,41.30472871
2010607,002010607-01,122507978,FP,0,1,1,18.633322600000003,916.5861366
2011424,002011424-01,122516117,FP,1,1,2,0.5211860449,65.00681849
2011424,002011424-02,122516117,FP,1,2,2,0.5211789006,54.14693258
2012722,002012722-01,122681330,FP,1,1,2,2.3264933180000003,22.57999542
2012722,002012722-02,122681330,FP,1,2,2,1.162876392,8.973199304
2013883,002013883-01,137097481,FP,0,1,1,0.7645897768000001,12.34157176
2014991,002014991-01,137306310,FP,0,1,10,6.49679688,130.37341740000002
2014991,002014991-02,137306310,FP,1,2,10,1.979830837,3.867521294
2014991,002014991-03,137306310,FP,1,3,10,125.1584557,252.21552880000002
2014991,002014991-04,137306310,FP,1,4,10,342.2601993,269.8789414
2014991,002014991-05,137306310,FP,1,5,10,51.120756400000005,210.46143569999998
2014991,002014991-06,137306310,FP,1,6,10,106.81650479999999,160.868257
2014991,002014991-07,137306310,FP,1,7,10,26.46458858,88.19469959
2014991,002014991-08,137306310,FP,1,8,10,175.4136919,164.33273569999997
2014991,002014991-09,137306310,FP,1,9,10,374.1729773,158.7812687
2014991,002014991-10,137306310,FP,1,10,10,186.7685721,165.2960641
2018261,002018261-01,137546489,FP,1,1,7,2.536658666,18.4483714
2018261,002018261-02,137546489,FP,1,2,7,171.7745626,260.3588649
2018261,002018261-03,137546489,FP,1,3,7,398.179919,299.340143
2018261,002018261-04,137546489,FP,1,4,7,140.9379945,228.1161028
2018261,002018261-05,137546489,FP,1,5,7,489.5756614,243.6584902
2018261,002018261-06,137546489,FP,1,6,7,92.34034564,177.73039519999998
2018261,002018261-07,137546489,FP,1,7,7,57.78325801,65.78305554
2019297,002019297-01,137637767,FP,1,1,2,3.794077287,49.33418972
2019297,002019297-02,137637767,FP,1,2,2,3.7955018610000004,47.69037239
2019477,002019477-01,137684059,FP,0,1,2,20.57135012,79.4772246
2019477,002019477-02,137684059,PC,0,2,2,27.24742764,78.34812299
2140360,002140360-01,120636655,FP,1,1,1,0.9527597353,19.1375225
2141387,002141387-01,120825218,FP,1,1,5,113.04214280000001,185.1518336
2141387,002141387-02,120825218,FP,1,2,5,113.0415519,729.4797192999999
2141387,002141387-03,120825218,FP,1,3,5,620.1747287000001,266.3976297
2141387,002141387-04,120825218,FP,1,4,5,699.3426893,509.2926114
2141387,002141387-05,120825218,FP,1,5,5,200.112304,815.0970778
2141938,002141938-01,120890463,FP,1,1,2,1.253751329,21.28818411
2141938,002141938-02,120890463,FP,1,2,2,1.2536213379999999,20.00056651
2142522,002142522-01,120964116,PC,0,1,1,13.32350115,113.0437649
2156514,002156514-01,122516373,FP,1,1,1,1.585610788,31.39864673
2156998,002156998-01,122516325,FP,1,1,1,549.6323503,350.9996665
2157489,002157489-01,122672832,FP,1,1,2,1.3573471119999998,11.68326716
2157489,002157489-02,122672832,FP,1,2,2,477.6233877,115.91017959999999
2158190,002158190-01,122681588,FP,1,1,3,0.984437881,8.723125233
2158190,002158190-02,122681588,FP,1,2,3,56.254496200000006,104.7645235
2158190,002158190-03,122681588,FP,1,3,3,36.80516676,56.89629798
2158208,002158208-01,122681634,FP,1,1,1,0.8791561789,96.23311729999999
2162904,002162904-01,137347632,FP,1,1,1,1.5397830909999999,252.19781150000003
2164165,002164165-01,137546857,FP,1,1,2,0.5403725862,21.65109429
2164791,002164791-02,137637285,FP,1,2,3,631.1280897,1986.6772059999998
2164791,002164791-03,137637285,FP,1,3,3,478.8480131,2126.861532
2166206,002166206-01,137818256,FP,0,1,1,8.096968233,220.5533357
2166218,002166218-01,137818426,FP,1,1,1,0.6986577367,8.215946187
2167600,002167600-01,137978393,FP,1,1,10,1.691463252,34.03423096
2167600,002167600-02,137978393,FP,1,2,10,97.42704386,321.87881880000003
2167600,002167600-03,137978393,FP,1,3,10,110.61998100000001,308.08631139999994
2167600,002167600-04,137978393,FP,1,4,10,541.2195792,358.56303710000003
2167600,002167600-05,137978393,FP,1,5,10,434.81362530000007,274.6620598
2167600,002167600-06,137978393,FP,1,6,10,265.5868643,301.8441557
2167600,002167600-07,137978393,FP,1,7,10,24.73339903,169.5447131
2167600,002167600-08,137978393,FP,1,8,10,102.14395809999999,405.4938392
2167600,002167600-09,137978393,FP,1,9,10,114.97183770000001,269.4705253
2167600,002167600-10,137978393,FP,1,10,10,72.54430306,215.41977909999997
2168333,002168333-01,138035706,FP,1,1,2,1.258129288,66.87312247
2168333,002168333-02,138035706,FP,1,2,2,1.258122502,73.29426135
2282763,002282763-01,120636679,FP,1,1,1,0.6882748178,55.12125989
2283124,002283124-01,120694515,FP,1,1,2,1.222141945,147.38983000000002
2283124,002283124-02,120694515,FP,1,2,2,429.2398177,466.1467988
2285420,002285420-01,120970425,FP,1,1,4,291.7930167,364.1179578
2285420,002285420-02,120970425,FP,1,2,4,378.30210239999997,1167.917051
2285420,002285420-03,120970425,FP,1,3,4,395.607215,2562.319291
2285420,002285420-04,120970425,FP,1,4,4,500.06963039999994,1375.9215960000001
2285586,002285586-01,121022886,FP,1,1,3,0.5218779176,34.33594911
2285586,002285586-02,121022886,FP,1,2,3,0.5220392924,58.89849828
2285586,002285586-03,121022886,FP,1,3,3,28.48712714,1073.269166
2297349,002297349-01,122365458,FP,1,1,1,319.8746656,124.2008174
2297728,002297728-01,122365299,FP,1,1,6,1.338739787,31.93225929
2297728,002297728-02,122365299,FP,1,2,6,1.338684948,25.54260568
2297728,002297728-03,122365299,FP,1,3,6,110.1754706,358.1822385
2297728,002297728-04,122365299,FP,1,4,6,94.66168881,326.7480631
2297728,002297728-05,122365299,FP,1,5,6,90.4224069,313.0809138
2300319,002300319-01,122672338,FP,1,1,1,324.89077369999995,200.94927119999997
