kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth,target_pixel_files,triceratops_probability,triceratops_disposition
11122789,011122789-08,48304328,FP,1,8,10,23.75100852,73.4515832,1,0.7106,PC
11122789,011122789-09,48304328,FP,1,9,10,98.81412338,76.86874681,1,0.5761,PC
11122789,011122789-10,48304328,FP,1,10,10,35.05612999,96.35252391,1,,
11133313,011133313-01,416283814,FP,1,1,1,27.40286868,361.3355204,1,0.7716,PC
11180361,011180361-01,405687343,PC,0,1,2,0.5330604551,102.3529965,1,0.3534,FP
11180361,011180361-02,405687343,FP,1,2,2,0.5967507307,17.1780193,1,0.4112,FP
11200191,011200191-01,27773743,FP,1,1,3,392.893429,620.2306244,1,0.2536,FP
11200191,011200191-02,27773743,FP,1,2,3,418.2676463,680.7763865,1,0.2631,FP
11200191,011200191-03,27773743,FP,1,3,3,234.6839406,624.965137,1,0.2988,FP
11231334,011231334-01,267667621,FP,0,1,5,4.15746573,1177.56236,1,0.7173,PC
11231334,011231334-02,267667621,FP,1,2,5,4.157404058,146.8273963,1,0.7619,PC
11231334,011231334-03,267667621,FP,1,3,5,233.19650869999998,235.5202492,1,0.6762,PC
11231334,011231334-04,267667621,FP,1,4,5,266.5477067,322.9977876,1,0.6436,PC
11231334,011231334-05,267667621,FP,1,5,5,295.0976243,433.14646009999996,1,0.6271,PC
11285625,011285625-01,48507019,FP,0,1,3,5.395283054,98050.31137000001,1,0.5561,PC
11285625,011285625-02,48507019,FP,1,2,3,154.8073125,6209.449516,1,0.6404,PC
11285625,011285625-03,48507019,FP,1,3,3,400.0781952,417.19073530000003,1,0.6428,PC
11293949,011293949-01,267748551,FP,1,1,2,84.44159622,3843.365886,1,0.3641,FP
11293949,011293949-02,267748551,FP,1,2,2,9.682390766000001,17.87415629,1,0.505,PC
11296437,011296437-01,26418690,FP,1,1,1,7.125113312000001,24.51721865,1,0.7743,PC
11390838,011390838-01,48451120,FP,1,1,5,193.0831176,131.6453715,1,0.4337,FP
11390838,011390838-02,48451120,FP,1,2,5,433.92388289999997,256.0417965,1,0.3343,FP
11390838,011390838-03,48451120,FP,1,3,5,359.6502582,46.3364889,1,0.4596,FP
11390838,011390838-04,48451120,FP,1,4,5,359.8558538,991.4493060000001,1,0.4629,FP
11390838,011390838-05,48451120,FP,1,5,5,561.4813633,152.3597431,1,0.382,FP
11391667,011391667-01,279918206,FP,0,1,1,0.5418699288,7291.727912,1,0.1723,FP
11392618,011392618-01,405684844,FP,0,1,1,110.9215981,486.3230699,1,0.6366,PC
11402951,011402951-01,26541086,FP,1,1,2,0.675626355,21.14160442,1,-1.0,
11402951,011402951-02,26541086,FP,1,2,2,0.6756380251,22.52382282,1,-1.0,
11403032,011403032-01,26541137,FP,1,1,1,7.631402575,32.06057185,1,0.7988,PC
11453915,011453915-01,350810416,FP,1,1,1,24.09998512,44.28068266,1,0.5861,PC
11494130,011494130-01,48418928,FP,1,1,1,18.95506565,909.0326916000001,1,0.757,PC
11495571,011495571-01,48504458,FP,1,1,4,241.90510419999998,699.7503531,1,0.2546,FP
11495571,011495571-02,48504458,FP,1,2,4,307.9384328,1738.7407289999999,1,,
11495571,011495571-03,48504458,FP,1,3,4,456.88628600000004,1720.015273,1,0.3696,FP
11495571,011495571-04,48504458,FP,1,4,4,0.5581208279,4.312221957,1,0.1183,FP
11512820,011512820-01,27186754,FP,1,1,1,38.9260879,39.46569649,1,,
11559725,011559725-01,424815274,FP,1,1,1,424.92254749999995,80.87052472,1,0.5594,PC
11600889,011600889-01,405688133,PC,0,1,1,0.669316617,71.30275109,1,0.2619,FP
11623629,011623629-01,28227113,PC,0,1,1,81.73789439,639.8514907,1,0.5723,PC
11649962,011649962-01,267666834,FP,1,1,1,10.56285101,564.0213667,1,0.7174,PC
11717716,011717716-01,27083004,FP,1,1,2,399.5476988,262.292376,1,0.4484,FP
11717716,011717716-02,27083004,FP,1,2,2,482.5973671,356.5239985,1,,
11769801,011769801-01,27396969,FP,1,1,1,29.71488563,342.9284515,1,0.8021,PC
11807274,011807274-01,298896336,PC,0,1,2,9.376642475,120.3353978,1,0.7735,PC
11807274,011807274-02,298896336,PC,0,2,2,7.812808442000001,94.87418491,1,0.7701,PC
11820830,011820830-01,27397122,PC,0,1,9,12.73194169,8810.059354,1,0.7531,PC
11820830,011820830-02,27397122,FP,1,2,9,12.73192437,196.8789438,1,0.7461,PC
11820830,011820830-03,27397122,FP,1,3,9,1.8202439680000002,42.23768358,1,0.5633,PC
11820830,011820830-04,27397122,FP,1,4,9,1.820548693,38.88693703,1,0.5483,PC
11820830,011820830-06,27397122,FP,1,6,9,54.58176936,194.0935878,1,0.7103,PC
11904151,011904151-01,377780790,PC,0,1,2,45.29426788,489.2419811,1,,
11904151,011904151-02,377780790,FP,1,2,2,0.8374840958,41.07834767,1,0.2153,FP
11904306,011904306-01,377780787,FP,1,1,1,255.7945466,63.98120349,1,0.5346,PC
11923629,011923629-01,27845826,FP,1,1,1,17.97704498,95.06310926,1,0.5479,PC
11967633,011967633-01,27006550,FP,1,1,1,459.74382879999996,225.61670930000002,1,0.5497,PC
11970288,011970288-01,27397490,FP,0,1,7,20.71110069,882.9915541,1,0.0133,FP
11970288,011970288-02,27397490,FP,1,2,7,3.213876385,129.4169032,1,0.0133,FP
11970288,011970288-04,27397490,FP,1,4,7,145.1682911,189.4602925,1,0.0133,FP
11970288,011970288-05,27397490,FP,1,5,7,31.61788,138.9585172,1,0.0133,FP
11970288,011970288-06,27397490,FP,1,6,7,66.8998947,217.0762483,1,0.0133,FP
11970288,011970288-07,27397490,FP,1,7,7,183.2253209,259.6176038,1,0.0133,FP
12053419,012053419-01,243270844,FP,1,1,1,588.6366583,137.8528854,1,0.7022,PC
12167086,012167086-01,27533798,FP,1,1,2,414.25964819999996,166.2069613,1,0.4966,FP
12207099,012207099-01,406999263,FP,1,1,6,1.4225352980000001,9.058066615,1,-1.0,
12207099,012207099-02,406999263,FP,1,2,6,1.422579832,10.48786813,1,-1.0,
12207099,012207099-03,406999263,FP,1,3,6,125.04088770000001,157.1590863,1,-1.0,
12207099,012207099-04,406999263,FP,1,4,6,134.942397,111.92453370000001,1,-1.0,
12207099,012207099-05,406999263,FP,1,5,6,99.84901226,31.09210299,1,-1.0,
12207099,012207099-06,406999263,FP,1,6,6,81.53700887,142.7272234,1,-1.0,
12253350,012253350-01,299029180,FP,1,1,3,408.49760510000004,528.5705686,1,0.6066,PC
12253350,012253350-02,299029180,FP,1,2,3,649.5489542,1543.04752,1,0.5629,PC
12253350,012253350-03,299029180,FP,1,3,3,577.9532073,324.0954616,1,0.6516,PC
12255108,012255108-01,416266458,FP,1,1,1,9.131136232000001,25.93059205,1,0.7764,PC
12268220,012268220-01,27844498,FP,0,1,3,4.421575444,51993.29087,1,0.8031,PC
12268220,012268220-02,27844498,FP,1,2,3,4.421546616,1087.431216,1,0.8052,PC
12268220,012268220-03,27844498,FP,1,3,3,376.8783045,2060.695664,1,,
12405950,012405950-01,406998744,FP,0,1,7,3.539641275,1163.245922,1,0.7105,PC
12405950,012405950-02,406998744,FP,1,2,7,3.539613464,343.848377,1,0.7409,PC
12405950,012405950-03,406998744,FP,1,3,7,2.654873158,18.78026643,1,0.6943,PC
12405950,012405950-04,406998744,FP,1,4,7,64.07914778,112.29164229999999,1,,
12405950,012405950-05,406998744,FP,1,5,7,81.70640296,178.6500774,1,0.7582,PC
12405950,012405950-06,406998744,FP,1,6,7,113.55218810000001,135.4556406,1,0.8038,PC
12405950,012405950-07,406998744,FP,1,7,7,73.33173776,239.5272908,1,0.7777,PC
12418816,012418816-01,27843942,FP,0,1,2,0.760934518,362264.86299999995,1,0.2786,FP
12418816,012418816-02,27843942,FP,1,2,2,3.0436779,10972.789420000001,1,0.4808,FP
12507325,012507325-01,416267120,FP,1,1,9,1.086390004,17.05200848,1,0.5736,PC
12507325,012507325-02,416267120,FP,1,2,9,66.76491827,290.86514289999997,1,,
12507325,012507325-03,416267120,FP,1,3,9,80.78385189,328.1090966,1,0.8139,PC
12507325,012507325-04,416267120,FP,1,4,9,624.7055989,412.81267660000003,1,0.7683,PC
12507325,012507325-05,416267120,FP,1,5,9,97.98719513,176.1656844,1,0.71,PC
12507325,012507325-06,416267120,FP,1,6,9,92.62916859,336.35401939999997,1,0.7165,PC
12507325,012507325-07,416267120,FP,1,7,9,108.5178316,196.5223946,1,0.711,PC
12507325,012507325-08,416267120,FP,1,8,9,16.80944182,112.5321109,1,0.835,PC
12507325,012507325-09,416267120,FP,1,9,9,64.56084524,165.0660787,1,0.7733,PC
12553408,012553408-01,298970256,FP,1,1,1,44.75625966,26.51813714,1,0.572,PC
12555642,012555642-01,267673296,FP,1,1,1,496.3796441,139.8996714,1,0.4628,FP
